parent,node,branch.length,label,Species,Habitat,Water_Type,MatchSpecies,MatchGenus,CBL_med,CBL_max,d_med,alphaAnt_med,alphaAnt_max,alphaPos_med,alphaPos_max,DAnt_med,DAnt_max,DPos_med,DPos_max,dBW_med,dBW_max,DAntBW_med,DAntBW_max,DPosBW_med,DPosBW_max,d_mid,CBL_mid,alphaAnt_mid,DPos_mid,DAnt_mid,DAntBW_mid,DPosBW_mid,d_slope,CBL_slope,alphaPos_slope,alphaAnt_slope,DPos_slope,DAnt_slope,dBW_slope,DAntBW_slope,DPosBW_slope,d_quad,CBL_quad,alphaPos_quad,alphaAnt_quad,DPos_quad,DAnt_quad,dBW_quad,DAntBW_quad,DPosBW_quad,d_order,CBL_order,alphaPos_order,alphaAnt_order,DPos_order,DAnt_order,dBW_order,DAntBW_order,DPosBW_order,Family,Tip,compare,var,value,change
149,68,76.385134,Acanthuridae_Ctenochaetus_strigosus_E00050,Ctenochaetus_strigosus,demersal,marine,strigosus,Ctenochaetus,0.0431,0.0468,0.00219999999999999,59.407799999999995,75.2856,60.9401,63.0501,0.02105,0.0231,0.02235,0.0232,0.01258034649999999,0.019489268,0.121688823,0.133555296,0.129361902,0.13446861,0.00198642857142857,0.04581714285714285,55.23794000000005,0.02268952380952381,0.02205809523809523,0.12742058073333334,0.13141732668571432,-0.02956071428571425,0.06897142857142859,NA,-239.1564714285715,0.00848571428571429,0.00794285714285712,-0.1702657702142856,0.04506410599999986,0.04959556457142847,0.02232142857142855,-0.03714285714285718,NA,164.9964285714287,NA,NA,0.12832839642857138,NA,NA,2,2,0,2,1,1,2,1,1,Acanthuridae,1603,d-p,alphaPos_mid,59.60843333333335,increase
149,67,76.38513299999998,Lutjanidae_Aphareus_furca_E00563,Aphareus_furca,pelagic,marine,furca,Aphareus,0.03959999999999999,0.042,7.999999999999999e-4,67.59275,77.8479,63.28665,71.6108,0.0217,0.0227,0.022,0.0223,0.00397817999999999,0.00652477,0.10868348,0.113736792,0.1102361305,0.111771933,9.78095238095238e-4,0.03748333333333334,65.42432000000002,0.02166666666666667,0.02178333333333334,0.10915040233333335,0.10854125083333337,7.428571428571428e-4,NA,-222.57819999999975,-134.3334857142861,NA,NA,0.00418145257142856,NA,NA,NA,NA,170.33142857142852,88.22571428571459,NA,NA,NA,NA,NA,1,0,2,2,0,0,1,0,0,Lutjanidae,1577,d-p,alphaPos_mid,62.47240571428576,increase
150,70,96.300001,Ammodytidae_Ammodytes_dubius_N02375,Ammodytes_personatus,benthic,marine,dubius,Ammodytes,0.0159,0.0168,0.0023,67.78435,75.1987,64.75215,68.91,0.0084,0.0092,0.00879999999999999,0.0096,0.0382658625,0.072181605,0.1416123915,0.15592577,0.1480174735,0.162727828,0.00265714285714285,0.01571428571428571,60.03528571428571,0.00907142857142857,0.00762142857142856,0.12825062121428568,0.1474774529285714,NA,-0.01164285714285705,NA,-41.16357142857144,NA,0.00317857142857144,NA,0.04447406178571508,-0.02722409464285705,NA,0.00833333333333326,NA,NA,NA,-0.00583333333333334,NA,-0.09196441547619108,NA,0,2,0,1,0,2,0,2,1,Ammodytidae,1696,b-d,alphaPos_mid,64.59664285714284,decrease
150,69,96.299999,Labridae_Labroides_dimidiatus_E00848,Labroides_dimidiatus,demersal,marine,dimidiatus,Labroides,0.0355,0.037,0.0012,51.58875,54.6429,52.0855,58.6546,0.01525,0.0168,0.01555,0.0172,0.0113650825,0.021207942,0.142362987,0.157184334,0.144900938,0.160487514,0.00128571428571428,0.03615714285714286,47.385871428571434,0.01487142857142857,0.01548571428571428,0.14447708285714286,0.1386640875714285,-0.02221428571428565,0.04342857142857135,-14.507428571428566,-22.81314285714281,0.01442857142857148,NA,-0.20770277178571375,NA,0.13520075785714283,0.0171428571428571,-0.03119047619047613,NA,NA,-0.01452380952380956,NA,0.16010006071428531,NA,-0.13602146904761905,2,2,1,1,2,0,2,0,2,Labridae,1657,b-d,alphaPos_mid,50.81652857142858,decrease
151,72,102.3,Gobiidae_Risor_ruber_E00107,Risor_ruber,benthic,marine,ruber,Risor,0.0361,0.0405,0.00275,65.10425000000001,72.3713,53.79695,71.1907,0.01685,0.021,0.0168,0.0207,0.0185453435,0.038384325,0.114181297,0.141982765,0.1136585105,0.14056821,0.0029,0.03313571428571429,59.63110714285716,0.01455714285714286,0.01627857142857143,0.11029612157142853,0.09852408864285717,NA,0.0830357142857142,-420.379392857142,-259.3407499999994,-0.06949999999999971,-0.00782142857142857,NA,-0.05243234785714279,-0.4710752432142839,NA,-0.07797619047619042,335.5470238095232,192.35630952380913,0.04619047619047597,NA,NA,NA,0.31283236309523677,0,2,2,2,2,1,0,1,2,Gobiidae,1747,b-d,alphaPos_mid,53.39160714285714,increase
151,71,102.3,Apogonidae_Nectamia_fusca_E00732,Nectamia_fusca,demersal,marine,fusca,Nectamia,0.0351,0.0369,4.5e-4,65.439,78.0513,64.78045,77.6795,0.01925,0.0208,0.01805,0.0215,0.0023016135,0.044516895,0.0953924655,0.103258252,0.0895170575,0.106633129,-3.74285714285695e-4,0.03652142857142856,62.70988333333333,0.01903714285714285,0.01980571428571429,0.09836780937142858,0.09446596493333334,-0.11818571428571426,0.07796428571428585,NA,NA,0.01191428571428569,0.01537142857142856,-0.5832094228928566,0.07680066914285716,0.05912454399999988,0.08214285714285716,-0.04392857142857157,NA,NA,NA,NA,0.4051826160714283,NA,NA,2,2,0,0,1,1,2,1,1,Apogonidae,1720,b-d,alphaPos_mid,63.18221666666667,increase
90,11,47.515722724999996,Cyprinidae_Discherodontus_ashmeadi_I2636-31,Discherodontus_ashmeadi,benthic,freshwater,ashmeadi,Discherodontus,0.02805,0.0297,0.0011,73.0206,80.5384,66.5378,75.5482,0.01639999999999999,0.0174,0.01625,0.0173,0.0062516325,0.010475918,0.0949823625,0.100794654,0.0939232275,0.09990842,0.00116666666666666,0.02885071428571429,70.56900500000003,0.01669809523809523,0.01682190476190476,0.09735977493333334,0.09656230145714288,NA,0.03818928571428576,-52.99136785714256,-164.52492500000088,0.00354285714285714,0.00425714285714283,NA,0.02440316399999993,0.0211780297142857,NA,-0.02660714285714292,61.64410714285693,116.67625000000068,NA,NA,NA,NA,NA,0,2,2,2,1,1,0,1,1,Cyprinidae,150,b-d,d_max,0.0018,decrease
90,10,47.51572272,Cyprinidae_Cyprinus_carpio_I2598-58,Cyprinus_carpio,demersal,freshwater,carpio,Cyprinus,0.0359,0.0385,0.00124999999999999,55.77055,60.6545,53.1185,63.0857,0.01595,0.0169,0.01625,0.0166,0.00813157,0.009552644,0.1061898675,0.112300035,0.107886869,0.110642931,0.0012,0.03502999999999999,53.237622857142895,0.01613333333333333,0.01541666666666667,0.10269349433333338,0.10736199216666673,NA,0.07994999999999992,-212.23451428571457,-199.57144285714296,NA,NA,NA,NA,NA,NA,-0.06749999999999999,184.5057142857146,156.27357142857156,NA,NA,NA,NA,NA,0,2,2,2,0,0,0,0,0,Cyprinidae,127,b-d,d_max,0.0014,decrease
101,23,129.39999899999998,Osmeridae_Hypomesus_pretiosus_G01333,Hypomesus_pretiosus,demersal,marine,pretiosus,Hypomesus,0.018,0.0191,0.00505,91.30665,107.3322,86.2671,91.1346,0.013,0.0136,0.0123,0.013,0.050288094,0.056059113,0.1302504385,0.136165176,0.1233645655,0.130012727,0.00495357142857142,0.01832380952380952,89.48720238095238,0.01220535714285714,0.01299285714285714,0.1304992119702381,0.1223923334523809,0.00271428571428571,0.02345238095238096,NA,-28.03419047619051,0.01287500000000003,0.01460714285714289,0.0275386730952381,0.14376310791666694,0.12970923452380964,NA,-0.0161904761904762,NA,NA,-0.01017857142857145,-0.01011904761904765,NA,-0.09847331011904786,-0.10203731904761916,1,2,0,1,2,2,1,2,2,Osmeridae,475,d-p,d_max,0.0056,decrease
101,24,129.399999,Stomiidae_Malacosteus_niger_E00783,Malacosteus_niger,pelagic,marine,niger,Malacosteus,0.0271,0.0278,0.0029,82.09145,89.6855,79.7671,87.1677,0.01785,0.0192,0.01725,0.0192,0.027980256,0.037652559,0.17116765150000002,0.184340253,0.1659010215,0.184010343,0.00252559523809523,0.02416488095238094,66.66553392857138,0.0127315476190476,0.01370238095238094,0.13130148994642848,0.12244642110119046,0.0036845238095238,0.03279166666666661,164.5158511904761,228.69673214285703,0.04602976190476185,0.05952380952380948,0.0381846242261905,0.5738664766071423,0.44135562529761857,-0.00494047619047618,-0.03577380952380948,-180.25446428571425,-233.3123214285714,-0.05267857142857139,-0.0607142857142857,-0.04898509226190479,-0.5853002660714283,-0.5050302696428568,2,2,2,2,2,2,2,2,2,Stomiidae,507,d-p,d_max,0.0039,decrease
