Species,Indiv,Pos,SL,CBL_raw,alpha_Pos_raw,d_raw,D_Pos_raw,alpha_Ant_raw,D_Ant_raw,CBL,alpha_Pos,d,D_Pos,alpha_Ant,D_Ant,Pt1x,Pt1y,Pt2x,Pt2y,Pt3x,Pt3y,Pt4x,Pt4y,Pt5x,Pt5y,Pt6x,Pt6y,Pt7x,Pt7y,Body Shape,Habitat_Initial ,Habitat_Friedman,Habitat_FishBase,Habitat,Water_Type,Max_BW_mm,BW_slide,Max_BH_mm,BH_slide,d_BW,D_Pos_BW,D_Ant_BW
Centropomus_undecimalis,1,60,1501,53.40,1.03,0.00,27.22,1.22,29.17,0.0356,58.9923,0.0000,0.0181,69.7948,0.0194,938.818,-150.498,938.98,-177.72,894.098,-150.012,893.773,-179.178,914.838,-164.271,914.838,-164.271,914.838,-164.271,Fusiform,Reef associated,reef associated,reef associated,pelagic,marine,190.991,607,377.675,640,0,0.1425328,0.152718247
Centropomus_undecimalis,1,70,1501,42.65,1.07,0.65,24.78,1.11,26.81,0.0284,61.1755,0.0004,0.0165,63.4344,0.0179,1121.41,-137.904,1123.43,-162.598,1081.13,-168.062,1078.9,-141.345,1101.61,-152.682,1101.71,-152.981,1101.76,-152.332,Fusiform,Reef associated,reef associated,reef associated,pelagic,marine,190.991,607,377.675,640,0.003408135,0.129725911,0.140372608
Centropomus_undecimalis,1,80,1501,50.56,0.98,0.67,24.49,1.01,23.72,0.0337,56.1076,0.0004,0.0163,57.6893,0.0158,1259.76,-121.372,1263.15,-145.631,1215.67,-127.893,1219.06,-151.37,1238.67,-136.5,1238.72,-136.889,1238.67,-136.222,Fusiform,Reef associated,reef associated,reef associated,pelagic,marine,190.991,607,377.675,640,0.00350211,0.128250637,0.124196897
Centropomus_undecimalis,1,90,1501,50.51,0.90,0.49,22.88,0.81,19.53,0.0337,51.3614,0.0003,0.0152,46.6153,0.0130,1403.11,-106.56,1406.61,-129.171,1357.57,-113.161,1359.81,-132.566,1381.21,-120.258,1381.29,-120.579,1381.21,-120.097,Fusiform,Reef associated,reef associated,reef associated,pelagic,marine,190.991,607,377.675,640,0.002558204,0.119797699,0.102276329
Osteoglossum_bicirrhosum,1,30,1193,13.80,1.74,3.09,17.01,1.73,16.76,0.0116,99.6832,0.0026,0.0143,99.3696,0.0140,384.14,303.548,388.909,319.88,374.745,324.071,370.988,307.74,379.709,313.97,379.209,312.646,380.153,315.585,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,157.453,323,273.959,320,0.019605118,0.108057902,0.106429116
Osteoglossum_bicirrhosum,1,40,1193,22.41,1.90,5.35,18.09,1.73,17.93,0.0188,108.8740,0.0045,0.0152,99.1371,0.0150,512.125,285.982,507.52,268.483,498.208,289.871,494.32,272.372,503.643,279.151,503.022,276.512,504.127,281.743,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,157.453,323,273.959,320,0.033955763,0.11492178,0.113848088
Osteoglossum_bicirrhosum,1,50,1193,22.58,1.85,6.01,18.17,1.86,18.23,0.0189,106.0472,0.0050,0.0152,106.4079,0.0153,625.483,243.232,618.187,226.588,612.601,248.818,605.99,231.832,615.494,237.48,614.513,234.66,616.597,240.3,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,157.453,323,273.959,320,0.038187319,0.115417944,0.115762572
Osteoglossum_bicirrhosum,1,60,1193,22.73,1.92,7.41,18.26,1.75,17.64,0.0191,110.2740,0.0062,0.0153,100.5402,0.0148,748.529,193.453,742.306,176.282,735.046,197.487,729.744,180.661,739.44,187.045,738.741,183.656,740.462,190.865,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,157.453,323,273.959,320,0.047071699,0.115995698,0.112043491
Osteoglossum_bicirrhosum,1,70,1193,21.40,1.87,6.36,17.08,1.70,16.21,0.0179,107.3999,0.0053,0.0143,97.2391,0.0136,863.294,154.232,858.279,137.906,850.169,157.647,845.687,142.067,854.687,147.548,854.077,144.58,855.636,150.741,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,157.453,323,273.959,320,0.040362438,0.108469769,0.102963233
Osteoglossum_bicirrhosum,1,80,1193,20.56,1.76,4.56,15.31,1.54,15.11,0.0172,101.0035,0.0038,0.0128,88.1847,0.0127,979.68,119.114,975.493,104.387,965.458,122.724,962.426,107.924,971.447,113.213,971.017,111.312,972.055,115.75,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,157.453,323,273.959,320,0.028946875,0.097239389,0.095948525
